Company Name,Location,Job Title,job_category,python_yn,R_yn,spark,aws,excel,avg_salary
bluecross blueshield of south carolina,"anderson, sc",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
cahaba medical care foundation,"centreville, al",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"calibre systems
3.7","alexandria, va",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,147680.0
"calibre systems
3.7","alexandria, va",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,147680.0
"community action partnership of san luis obispo
2.8","parlier, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,98800.0
"dentaquest
3.1","milwaukee, wi",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117520.0
"drb systems
4.0","meridian, id",data analyst,Data Analyst,1.0,1.0,0.0,0.0,1.0,101920.0
express employment professionals,"city of industry, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,46800.0
express employment professionals,"city of industry, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,46800.0
fandango,"los angeles, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
fandango,"los angeles, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
farm credit council,"fresno, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
farm credit council,"fresno, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
fastener distribution holdings llc.,"commerce, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,102500.0
fastener distribution holdings llc.,"commerce, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,102500.0
freeport-mcmoran,"bagdad, az",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"gensco
4.4","tacoma, wa",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,111280.0
hertz car rental,"fresno, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
hertz car rental,"memphis, tn",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
inductive recruiters,"oxnard, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
inductive recruiters,"oxnard, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
insite property group,"redondo beach, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,110000.0
insite property group,"redondo beach, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,110000.0
ispa technology,"port hueneme, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,97500.0
ispa technology,"port hueneme, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,97500.0
ispa technology,"port hueneme, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,97500.0
ispa technology,"port hueneme, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,97500.0
laserfiche,"long beach, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,70000.0
