Job Title,Company Name,Location,avg_salary,python_yn,R_yn,spark,aws,excel,job_category
Data Analyst,"DRB Systems
4.0","Meridian, ID",49.0,1,1,0,0,1,Data Analyst
Staff Data Scientist,"Western Digital
3.5","San Jose, CA",171.5,1,0,0,1,0,Data Scientist
"Data Scientist (Actuary, FSA or ASA)","Legal & General America
3.8","Frederick, MD",107.0,1,0,0,0,1,Data Scientist
System and Data Analyst,"Corcentric
3.7","Cherry Hill, NJ",59.0,0,0,0,0,1,Data Analyst
Data Scientist,"U.Group
3.5","Indianapolis, IN",88.5,0,0,0,1,0,Data Scientist
Data Engineer 5 - Contract (Remote),"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT",107.0,0,0,0,0,1,Data Engineer
Digital Health Data Scientist,"Pfizer
4.0","Cambridge, MA",86.5,1,0,0,1,1,Data Scientist
Data Scientist,"SMC 3
4.3","Louisville, KY",84.0,1,0,0,0,1,Data Scientist
Data Engineer,"Eventbrite
4.4","Nashville, TN",88.0,1,0,1,1,1,Data Engineer
Big Data Engineer - Chicago - Future Opportunity,"Centro
4.1","Chicago, IL",100.0,1,0,1,1,0,Data Engineer
Senior Data Analyst,"National Student Clearinghouse
2.9","Herndon, VA",61.5,1,0,0,0,1,Data Analyst
Data Scientist,"comScore
2.5","Portland, OR",96.5,1,0,1,0,0,Data Scientist
Survey Data Analyst,"SullivanCotter
4.2","Minneapolis, MN",76.0,1,0,0,0,1,Data Analyst
Data Scientist,"NPD
3.9","Port Washington, NY",15.5,0,0,0,0,1,Data Scientist
Data Scientist,"Bakery Agency
4.3","Austin, TX",83.5,1,0,0,0,1,Data Scientist
"Risk and Analytics IT, Data Scientist","State of Wisconsin Investment Board
2.7","Madison, WI",120.0,1,0,0,0,0,Data Scientist
Data Scientist,"Genentech
3.9","South San Francisco, CA",163.0,0,0,0,0,1,Data Scientist
Lead Health Data Analyst - Front End,"Blue Cross & Blue Shield of Rhode Island
3.4","Providence, RI",100.0,0,0,0,1,0,Data Analyst
Junior Data Analyst,"The HSC Health Care System
3.3","Washington, DC",50.0,0,0,0,0,1,Data Analyst
SQL Data Engineer,"Pro-Sphere Tek
3.4","Austin, TX",93.0,1,0,0,1,0,Data Engineer
Data Scientist,"Ameritas Life Insurance Corp
3.0","Cincinnati, OH",94.5,1,0,0,0,0,Data Scientist
Senior Data Scientist,"Autodesk
4.0","San Francisco, CA",150.5,1,0,1,0,0,Data Scientist
Data Scientist,"Genworth
3.7","Raleigh, NC",102.0,1,0,1,1,1,Data Scientist
Clinical Data Scientist,"Pfizer
4.0","Groton, CT",84.0,0,0,0,1,1,Data Scientist
Data Scientist,"Novetta
4.0","Herndon, VA",143.0,1,0,0,1,0,Data Scientist
"Sr. Data Scientist, Cyber-Security LT Contract","Numeric, LLC
3.2","Phila, PA",155.0,1,0,1,1,1,Data Scientist
Data Engineer,"IZEA
4.2","Winter Park, FL",71.5,1,0,1,1,1,Data Engineer
Data Scientist,"Trace Data
3.9","Oakland, CA",108.0,1,0,1,0,0,Data Scientist
Digital Marketing & ECommerce Data Analyst,"Vionic Group
3.6","San Rafael, CA",51.5,0,0,0,0,1,Data Analyst
Senior Data Analyst,"Dodge Data & Analytics
2.8","Hamilton, NJ",77.5,1,0,0,0,1,Data Analyst
Insurance Financial Data Analyst,"Clearwater Analytics
4.2","Boise, ID",63.5,0,0,0,0,1,Data Analyst
Data Scientist,"Tekvalley, Corp.
4.0","San Francisco, CA",109.0,1,0,0,0,0,Data Scientist
Data Scientist,"BWX Technologies
3.5","Oak Ridge, TN",96.0,1,0,0,0,0,Data Scientist
Principal Data Scientist with over 10 years experience,CA-One Tech Cloud,"San Francisco, CA",225.0,1,0,0,1,1,Data Scientist
Data Engineer,"PennyMac
3.2","Agoura Hills, CA",101.0,1,0,0,1,1,Data Engineer
Senior Data Scientist,"Plymouth Rock Assurance
3.3","Woodbridge, NJ",98.5,0,0,0,0,1,Data Scientist
Data Engineer I - Azure,"Vermeer
3.9","Pella, IA",77.5,0,0,0,0,1,Data Engineer
Sr. Data Scientist II,"Argo Group US
3.4","New York, NY",147.0,1,0,1,1,0,Data Scientist
Data Scientist,"L&T Infotech
3.5","San Ramon, CA",90.0,1,0,0,0,1,Data Scientist
Information Security Data Analyst,"OceanFirst Financial
4.3","Red Bank, NJ",58.0,0,0,0,1,0,Data Analyst
Excel / VBA / SQL Data Analyst,"Associated Electric Cooperative
4.1","Springfield, MO",61.0,0,0,0,0,1,Data Analyst
Data Scientist,"Sotheby's
3.6","New York, NY",128.0,1,0,0,0,0,Data Scientist
Data Scientist,"First Tech Federal Credit Union
3.5","Hillsboro, OR",99.5,1,0,1,1,1,Data Scientist
Data Scientist,"Amrock
3.6","Detroit, MI",96.0,1,0,0,0,0,Data Scientist
Data Scientist,"Vanda Pharmaceuticals
2.3","Washington, DC",101.0,1,0,0,0,1,Data Scientist
Senior Data Scientist,"Zest AI
3.9","Burbank, CA",148.0,1,0,0,0,0,Data Scientist
"Data Scientist, Senior","Novetta
4.0","Fort Belvoir, VA",142.0,1,0,0,1,0,Data Scientist
Senior Data Scientist,"CK-12 Foundation
4.1","Palo Alto, CA",169.0,0,0,0,1,1,Data Scientist
Radar Data Analyst,"DECISIVE ANALYTICS Corporation
4.7","Huntsville, AL",59.0,1,0,0,0,1,Data Analyst
Data Engineer,"Applied Information Sciences
4.6","Houston, TX",75.5,0,0,1,0,0,Data Engineer
Senior Data Scientist,"Swiss Re
3.7","Armonk, NY",139.0,1,0,0,0,1,Data Scientist
"Data Engineer, Data Engineering and Artifical Intelligence","Takeda Pharmaceuticals
3.7","Cambridge, MA",102.5,1,0,1,1,1,Data Engineer
PL Actuarial-Lead Data Scientist,"The Hanover Insurance Group
3.7","Worcester, MA",146.5,1,0,0,0,1,Data Scientist
Sr. Data Analyst,"MassMutual
3.6","Springfield, MA",81.0,1,0,0,0,0,Data Analyst
Program/Data Analyst,"General Dynamics Information Technology
3.4","Washington, DC",77.0,0,0,0,0,1,Data Analyst
Data Engineer,"ManTech
4.1","Herndon, VA",92.0,0,0,0,0,0,Data Engineer
Senior Data Scientist: Causal & Predictive analytics AI Innovation Lab,"Novartis
3.8","Cambridge, MA",121.0,0,0,0,0,0,Data Scientist
"Principal Data Engineer, Data Platform & Insights","Autodesk
4.0","San Francisco, CA",162.5,1,0,1,0,1,Data Engineer
Big Data Engineer,"SpringML
4.4","Indianapolis, IN",90.5,1,0,1,0,0,Data Engineer
Data Scientist / Machine Learning Expert,"Novartis
3.8","Cambridge, MA",114.5,1,0,0,0,0,Data Scientist
Data Scientist,"Juniper Networks
3.8","Sunnyvale, CA",121.0,1,0,1,0,1,Data Scientist
Senior Data Scientist,"The Integer Group
2.2","Dallas, TX",110.0,0,0,0,0,0,Data Scientist
Clinical Data Analyst,"ManTech
4.1","Portsmouth, VA",70.5,0,0,0,0,0,Data Analyst
Data Engineer,"P2 Energy Solutions
3.7","Lafayette, LA",70.5,0,0,0,0,1,Data Engineer
Computational Chemist/Data Scientist,"PNNL
3.8","Richland, WA",76.5,1,0,0,0,0,Data Scientist
Data Engineer,"MassMutual
3.6","Springfield, MA",92.0,1,0,1,0,1,Data Engineer
Principal Data Scientist (Computational Chemistry),"Recursion Pharmaceuticals
4.7","Salt Lake City, UT",140.5,1,0,0,1,0,Data Scientist
Data Scientist,"Samba TV
3.3","San Francisco, CA",164.5,0,0,0,0,0,Data Scientist
Market Data Analyst,"SV Microwave
3.4","West Palm Beach, FL",44.0,0,0,0,0,0,Data Analyst
Data Engineer,"SpringML
4.4","Herndon, VA",109.0,1,0,1,0,0,Data Engineer
Staff Data Engineer,"Sumo Logic
3.8","Austin, TX",149.5,0,0,1,1,0,Data Engineer
Associate Data Engineer,"EAB
3.5","Washington, DC",65.5,0,0,1,1,1,Data Engineer
Senior Data Scientist,"Brighthouse Financial
3.5","Charlotte, NC",124.5,1,0,1,0,1,Data Scientist
Staff BI and Data Engineer,"Affinity Solutions
2.9","San Jose, CA",114.0,1,0,1,0,0,Data Engineer
Marketing Data Analyst,"Citadel Federal Credit Union
3.9","Exton, PA",49.0,1,0,0,0,0,Data Analyst
Data Analyst,"CALIBRE Systems
3.7","Alexandria, VA",71.0,0,0,0,0,1,Data Analyst
Data Scientist,"Esri
3.5","Redlands, CA",107.0,1,0,1,1,0,Data Scientist
Data Scientist,"New England Biolabs
4.7","Ipswich, MA",112.5,1,0,0,0,1,Data Scientist
Information Security Data Analyst,"Motorola Solutions
3.7","Chicago, IL",61.0,1,0,1,0,0,Data Analyst
Lead Data Engineer,"Credit Sesame
4.1","Mountain View, CA",205.0,1,0,1,1,0,Data Engineer
Data Engineer,"Alignment Healthcare
3.5","Orange, CA",94.5,1,0,1,1,1,Data Engineer
Marketing Data Analyst,"San Manuel Casino
3.6","Highland, CA",48.5,0,0,0,0,1,Data Analyst
Data Engineer,"Guidepoint
3.2","New York, NY",64.5,1,0,0,1,1,Data Engineer
