Company Name,Location,Job Title,job_category,python_yn,R_yn,spark,aws,excel,avg_salary
"gotrg
4.2","miami, fl",data scientist,Data Scientist,1,0,1,0,1,177840
"hg insights
4.7","santa barbara, ca",data scientist,Data Scientist,1,0,1,0,1,177840
"ihs markit
3.5","new york, ny",data scientist,Data Scientist,1,0,0,1,0,167440
"johns hopkins university applied physics laboratory
4.5","laurel, md",data scientist,Data Scientist,1,0,0,0,1,270400
"juniper networks
3.8","sunnyvale, ca",data scientist,Data Scientist,1,0,1,0,1,251680
"juniper networks
3.8","sunnyvale, ca",data scientist,Data Scientist,1,0,1,0,1,251680
"knowbe4
4.8","clearwater, fl",data scientist,Data Scientist,1,0,1,0,1,176800
"knowbe4
4.8","clearwater, fl",data scientist,Data Scientist,1,0,1,0,1,176800
"l&t infotech
3.5","san ramon, ca",data scientist,Data Scientist,1,0,0,0,1,187200
"leidos
3.4","springfield, va",data scientist,Data Scientist,1,0,0,1,0,211120
"lockheed martin
3.7","herndon, va",data scientist,Data Scientist,1,0,1,0,1,185120
"logic20/20
3.8","san jose, ca",data scientist,Data Scientist,1,0,1,1,1,237120
"logic20/20
3.8","san jose, ca",data scientist,Data Scientist,1,0,1,1,1,237120
"lorven technologies inc
4.0","santa clara, ca",data scientist,Data Scientist,1,0,1,0,0,236080
"mantech
4.1","chantilly, va",data scientist,Data Scientist,0,0,0,0,0,176800
"mantech
4.1","chantilly, va",data scientist,Data Scientist,0,0,0,0,0,176800
"maven wave partners
4.4","chicago, il",data scientist,Data Scientist,1,0,0,1,1,168480
"mitre
3.2","mclean, va",data scientist,Data Scientist,1,0,0,0,1,202800
"mz
3.4","palo alto, ca",data scientist,Data Scientist,1,0,1,0,0,264160
"netskope
4.1","san francisco, ca",data scientist,Data Scientist,1,0,1,0,1,321360
"netskope
4.1","santa clara, ca",data scientist,Data Scientist,1,0,1,0,1,321360
"new england biolabs
4.7","ipswich, ma",data scientist,Data Scientist,1,0,0,0,1,234000
"new england biolabs
4.7","ipswich, ma",data scientist,Data Scientist,1,0,0,0,1,234000
"northrop grumman
3.7","san diego, ca",data scientist,Data Scientist,0,0,0,0,1,227760
"northrop grumman
3.7","san diego, ca",data scientist,Data Scientist,0,0,0,0,1,227760
"novetta
4.0","herndon, va",data scientist,Data Scientist,1,0,0,1,0,297440
"novetta
4.0","herndon, va",data scientist,Data Scientist,1,0,0,1,0,297440
"npd
3.9","port washington, ny",data scientist,Data Scientist,0,0,0,0,1,32240
"numeric, llc
3.2","philadelphia, pa",data scientist,Data Scientist,1,0,1,1,0,267280
"numeric, llc
3.2","philadelphia, pa",data scientist,Data Scientist,1,0,1,1,0,267280
"nurx
3.9","san francisco, ca",data scientist,Data Scientist,1,0,0,0,0,257920
"oversight systems
4.7","atlanta, ga",data scientist,Data Scientist,1,0,0,0,1,165360
"oversight systems
4.7","atlanta, ga",data scientist,Data Scientist,1,0,0,0,1,165360
"pactera
4.4","san jose, ca",data scientist,Data Scientist,1,0,0,0,1,236080
"peoplesbank
4.2","holyoke, ma",data scientist,Data Scientist,0,0,0,0,1,209040
"peraton
3.3","chantilly, va",data scientist,Data Scientist,1,0,0,0,1,228800
"pinnacol assurance
4.0","denver, co",data scientist,Data Scientist,1,0,0,0,1,182000
"pnnl
3.8","richland, wa",data scientist,Data Scientist,1,0,0,0,0,159120
"pnnl
3.8","richland, wa",data scientist,Data Scientist,1,0,0,0,0,159120
"porch
3.2","seattle, wa",data scientist,Data Scientist,1,0,1,0,0,219440
"quick base
4.4","cambridge, ma",data scientist,Data Scientist,1,0,0,0,1,209040
"rapid response monitoring
4.7","syracuse, ny",data scientist,Data Scientist,1,0,0,0,0,177840
"remedy bpci partners, llc.
3.4","new york, ny",data scientist,Data Scientist,1,0,1,1,0,197600
"remedy bpci partners, llc.
3.4","new york, ny",data scientist,Data Scientist,1,0,1,1,0,197600
"royce geospatial
5.0","springfield, va",data scientist,Data Scientist,1,0,0,0,0,210080
"samba tv
3.3","san francisco, ca",data scientist,Data Scientist,0,0,0,0,0,342160
"samba tv
3.3","san francisco, ca",data scientist,Data Scientist,0,0,0,0,0,342160
"sartorius
3.5","albuquerque, nm",data scientist,Data Scientist,1,0,0,0,1,157040
"sartorius
3.5","albuquerque, nm",data scientist,Data Scientist,1,0,0,0,1,157040
"scale ai
3.5","san francisco, ca",data scientist,Data Scientist,1,0,0,0,0,250640
"serigor inc.
3.9","san francisco, ca",data scientist,Data Scientist,1,0,0,0,0,236080
"smc 3
4.3","louisville, ky",data scientist,Data Scientist,1,0,0,0,1,174720
"smc 3
4.3","louisville, ky",data scientist,Data Scientist,1,0,0,0,1,174720
"solugenix corporation
4.3","phoenix, az",data scientist,Data Scientist,1,0,0,0,1,144560
"sotheby's
3.6","new york, ny",data scientist,Data Scientist,1,0,0,0,0,266240
"spectrum communications and consulting
3.4","chicago, il",data scientist,Data Scientist,0,0,0,0,0,182000
"strategic financial solutions
4.0","new york, ny",data scientist,Data Scientist,1,0,0,0,1,202800
"strategic financial solutions
4.0","new york, ny",data scientist,Data Scientist,1,0,0,0,1,202800
"swiss re
3.7","armonk, ny",data scientist,Data Scientist,1,0,0,0,1,239200
"swiss re
3.7","armonk, ny",data scientist,Data Scientist,1,0,0,0,1,239200
"systems & technology research
4.7","arlington, va",data scientist,Data Scientist,1,0,1,0,1,222560
"systems & technology research
4.7","woburn, ma",data scientist,Data Scientist,1,0,1,0,1,228800
"takeda pharmaceuticals
3.7","cambridge, ma",data scientist,Data Scientist,1,0,1,0,0,236080
"takeda pharmaceuticals
3.7","cambridge, ma",data scientist,Data Scientist,1,0,1,0,0,236080
"techprojects
4.8","new york, ny",data scientist,Data Scientist,1,0,0,0,1,302640
"tecolote research
3.8","albuquerque, nm",data scientist,Data Scientist,1,0,0,0,1,149760
"tekvalley, corp.
4.0","san francisco, ca",data scientist,Data Scientist,1,0,0,0,0,226720
"the buffalo group
3.9","fort belvoir, va",data scientist,Data Scientist,1,0,0,0,1,205920
"the e.w. scripps company
3.5","cincinnati, oh",data scientist,Data Scientist,1,0,0,0,0,223600
"trace data
3.9","oakland, ca",data scientist,Data Scientist,1,0,1,0,0,224640
"tranzact
3.6","fort lee, nj",data scientist,Data Scientist,1,0,0,1,1,237120
"u.group
3.5","indianapolis, in",data scientist,Data Scientist,0,0,0,1,0,184080
"useready
4.3","new york, ny",data scientist,Data Scientist,1,0,1,1,0,239200
"useready
4.3","new york, ny",data scientist,Data Scientist,1,0,1,1,0,239200
"vanda pharmaceuticals
2.3","washington, dc",data scientist,Data Scientist,1,0,0,0,1,210080
"west coast university
2.6","irvine, ca",data scientist,Data Scientist,1,0,0,0,0,251680
"wish
3.5","san jose, ca",data scientist,Data Scientist,1,0,0,0,0,340080
